Date,Open,High,Low,Close,Volume
2024-07-06,56739.86285107204,56739.86285107204,56739.86285107204,56739.86285107204,60081357583.2773
2024-07-07,58230.4841542266,58230.4841542266,58230.4841542266,58230.4841542266,21293913670.919975
2024-07-08,55880.3753776708,55880.3753776708,55880.3753776708,55880.3753776708,20211914621.326435
2024-07-09,56665.140733520275,56665.140733520275,56665.140733520275,56665.140733520275,41614266908.30467
2024-07-10,57988.30351208401,57988.30351208401,57988.30351208401,57988.30351208401,28413854577.262756
2024-07-11,57704.202284462874,57704.202284462874,57704.202284462874,57704.202284462874,25987656347.278587
2024-07-12,57388.192479166675,57388.192479166675,57388.192479166675,57388.192479166675,29196653598.752666
2024-07-13,57899.28895749592,57899.28895749592,57899.28895749592,57899.28895749592,25504482306.198975
2024-07-14,59152.71913887286,59152.71913887286,59152.71913887286,59152.71913887286,16765547593.243273
2024-07-15,60942.32773996293,60942.32773996293,60942.32773996293,60942.32773996293,21295520563.65442
2024-07-16,64835.48973321571,64835.48973321571,64835.48973321571,64835.48973321571,37810068492.862465
2024-07-17,65162.23625234354,65162.23625234354,65162.23625234354,65162.23625234354,40914441633.09575
2024-07-18,64136.31384360687,64136.31384360687,64136.31384360687,64136.31384360687,33459451713.593426
2024-07-19,63959.56900809379,63959.56900809379,63959.56900809379,63959.56900809379,25976148878.632153
2024-07-20,66689.54880734957,66689.54880734957,66689.54880734957,66689.54880734957,36994610752.230415
2024-07-21,67206.06470614894,67206.06470614894,67206.06470614894,67206.06470614894,17353396168.041622
2024-07-22,68088.13996324532,68088.13996324532,68088.13996324532,68088.13996324532,27078771827.95196
2024-07-23,67607.71339918874,67607.71339918874,67607.71339918874,67607.71339918874,43157593651.80313
2024-07-24,65942.41746522837,65942.41746522837,65942.41746522837,65942.41746522837,36100536095.18872
2024-07-25,65403.53513022529,65403.53513022529,65403.53513022529,65403.53513022529,28680123269.715443
2024-07-26,65749.96361965332,65749.96361965332,65749.96361965332,65749.96361965332,35836896135.542854
2024-07-27,67920.2964857025,67920.2964857025,67920.2964857025,67920.2964857025,30821370069.206276
2024-07-28,68055.40838968738,68055.40838968738,68055.40838968738,68055.40838968738,30976752616.761925
2024-07-29,68242.2474440493,68242.2474440493,68242.2474440493,68242.2474440493,17175244020.36542
2024-07-30,66770.32091848266,66770.32091848266,66770.32091848266,66770.32091848266,42529043667.45024
2024-07-31,66219.05102486102,66219.05102486102,66219.05102486102,66219.05102486102,28892376510.689587
2024-08-01,64679.778647032515,64679.778647032515,64679.778647032515,64679.778647032515,31403681581.194077
2024-08-02,65357.52960767435,65357.52960767435,65357.52960767435,65357.52960767435,38911302447.60912
2024-08-03,61407.29547397454,61407.29547397454,61407.29547397454,61407.29547397454,39004321616.3716
2024-08-04,60738.7449250574,60738.7449250574,60738.7449250574,60738.7449250574,32885545023.712658
